country,region,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,corruption,tier
Singapore,East Asia,6.583,1.293,0.774,57.1,0.857,0.278,0.785,"High
(6-7)"
Hong Kong,East Asia,6.215,1.603,0.763,54.0,0.733,0.192,0.657,"High
(6-7)"
Malaysia,East Asia,5.627,2.0,0.679,47.8,0.901,0.275,0.662,"Medium
(5-6)"
Thailand,East Asia,6.64,1.36,0.692,53.0,0.662,0.297,0.524,"High
(6-7)"
Vietnam,East Asia,5.622,1.252,0.85,50.4,0.643,0.209,0.594,"Medium
(5-6)"
Indonesia,East Asia,5.845,1.199,0.828,46.9,0.567,0.094,0.512,"Medium
(5-6)"
Mauritius,Sub-Saharan Africa,4.418,1.44,0.903,40.0,0.748,0.06,0.547,"Low
(4-5)"
Nigeria,Sub-Saharan Africa,3.998,1.037,0.701,40.0,0.949,0.167,0.622,"Very Low
(<4)"
Ghana,Sub-Saharan Africa,4.683,0.784,0.827,40.0,0.763,0.087,0.554,"Low
(4-5)"
Kenya,Sub-Saharan Africa,4.549,1.432,0.915,44.3,0.65,0.285,0.583,"Low
(4-5)"
Ethiopia,Sub-Saharan Africa,5.733,0.641,0.699,40.0,0.474,0.117,0.413,"Medium
(5-6)"
Rwanda,Sub-Saharan Africa,4.305,1.044,0.99,40.0,0.675,0.072,0.639,"Low
(4-5)"
Senegal,Sub-Saharan Africa,3.276,1.565,0.942,40.0,0.527,0.342,0.529,"Very Low
(<4)"
Zambia,Sub-Saharan Africa,5.066,0.366,0.728,40.0,0.756,0.126,0.662,"Medium
(5-6)"
Zimbabwe,Sub-Saharan Africa,3.453,0.874,0.814,40.0,0.843,0.045,0.274,"Very Low
(<4)"
Sierra Leone,Sub-Saharan Africa,5.094,1.04,0.71,41.9,0.765,0.322,0.562,"Medium
(5-6)"
